"sp"	"estado"
"sp_obtenerlistaordenestrabajo"	"SIGUE_DIFERENTE"
"sp_obtenerlistaordenestrabajo_otweb"	"SIGUE_FALTANDO"
"sp_obtenerlistaordenestrabajorfechas"	"SIGUE_DIFERENTE"
"spx_listarotfinalizadas"	"SIGUE_FALTANDO"
"spx_obtenerauxiliaresconformacioncuadrillaweb"	"SIGUE_FALTANDO"
"spx_obtenerconformacioncuadrillaweb"	"SIGUE_FALTANDO"
"spx_obtenerconformacioncuadrillawebporid"	"SIGUE_FALTANDO"
"spx_obtenertecnicosconformacioncuadrillaweb"	"SIGUE_FALTANDO"
"spx_registrarventapararegistrootwb"	"SIGUE_FALTANDO"
"spx_validarventaydetallewb"	"SIGUE_FALTANDO"
"traertodoslosproductos_sinfungibleweb"	"SIGUE_FALTANDO"
